a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,age,statut_marital,departement,poste,nombre_experiences_precedentes,annees_dans_l_entreprise,target
Oui,0,0,1,2,Infra & Cloud,Occasionnel,0,2,3,2,4,1,1,3,Oui,41,Célibataire,Commercial,Cadre Commercial,8,6,1
Non,1,3,8,1,Infra & Cloud,Frequent,1,3,2,2,2,4,3,4,Non,49,Marié(e),Consulting,Assistant de Direction,1,10,0
Oui,0,3,2,2,Autre,Occasionnel,0,4,2,1,3,2,3,3,Oui,37,Célibataire,Consulting,Consultant,6,0,1
Non,0,3,3,4,Infra & Cloud,Frequent,3,4,3,1,3,3,3,3,Oui,33,Marié(e),Consulting,Assistant de Direction,1,8,0
Non,1,3,2,1,Transformation Digitale,Occasionnel,2,1,3,1,2,4,3,3,Non,27,Marié(e),Consulting,Consultant,9,2,0
Non,0,2,2,2,Infra & Cloud,Frequent,3,4,3,1,4,3,2,3,Non,32,Célibataire,Consulting,Consultant,0,7,0
Non,3,3,3,3,Transformation Digitale,Occasionnel,0,3,4,1,1,1,2,4,Oui,59,Marié(e),Consulting,Consultant,4,1,0
Non,1,2,24,1,Infra & Cloud,Occasionnel,0,4,3,1,3,2,3,4,Non,30,Divorcé(e),Consulting,Consultant,1,1,0
Non,0,2,23,3,Infra & Cloud,Frequent,1,4,2,3,3,2,3,4,Non,38,Célibataire,Consulting,Tech Lead,0,9,0
Non,2,3,27,3,Transformation Digitale,Occasionnel,7,3,3,2,3,2,2,3,Non,36,Marié(e),Consulting,Manager,6,7,0
Non,1,5,16,3,Transformation Digitale,Occasionnel,0,1,4,1,2,3,3,3,Non,35,Marié(e),Consulting,Consultant,0,5,0
Non,0,3,15,2,Infra & Cloud,Occasionnel,0,4,2,2,3,4,3,3,Oui,29,Célibataire,Consulting,Consultant,0,9,0
Non,1,1,26,1,Infra & Cloud,Occasionnel,4,1,3,1,3,4,2,3,Non,31,Divorcé(e),Consulting,Assistant de Direction,1,5,0
Non,1,2,19,2,Transformation Digitale,Occasionnel,1,2,3,1,4,3,3,3,Non,34,Divorcé(e),Consulting,Consultant,0,2,0
Oui,0,4,24,3,Infra & Cloud,Occasionnel,0,3,2,1,3,2,3,3,Oui,28,Célibataire,Consulting,Consultant,5,4,1
Non,1,1,21,4,Infra & Cloud,Occasionnel,8,2,4,3,1,3,3,3,Non,29,Divorcé(e),Consulting,Tech Lead,1,10,0
Non,2,5,5,2,Infra & Cloud,Occasionnel,0,1,4,1,2,4,2,3,Oui,32,Divorcé(e),Consulting,Assistant de Direction,0,6,0
Non,2,2,16,2,Transformation Digitale,Aucun,0,4,4,1,4,2,2,3,Oui,22,Divorcé(e),Consulting,Consultant,1,1,0
